id x y z omega phi kappa
100 674204 3936599 200 0 0 45
101 674178.5442 3936624.456 200 0 0 45
102 674153.0883 3936649.912 200 0 0 45
103 674127.6325 3936675.368 200 0 0 45
104 674102.1766 3936700.823 200 0 0 45
105 674076.7208 3936726.279 200 0 0 45
106 674051.2649 3936751.735 200 0 0 45
107 674025.8091 3936777.191 200 0 0 45
108 674000.3532 3936802.647 200 0 0 45
109 673974.8974 3936828.103 200 0 0 45
110 673949.4416 3936853.558 200 0 0 45
111 673923.9857 3936879.014 200 0 0 45
112 673898.5299 3936904.47 200 0 0 45
113 673873.074 3936929.926 200 0 0 45
114 673847.6182 3936955.382 200 0 0 45
115 673822.1623 3936980.838 200 0 0 45
116 673796.7065 3937006.294 200 0 0 45
117 673771.2506 3937031.749 200 0 0 45
118 673745.7948 3937057.205 200 0 0 45
119 673720.339 3937082.661 200 0 0 45
120 673694.8831 3937108.117 200 0 0 45
121 673669.4273 3937133.573 200 0 0 45
122 673643.9714 3937159.029 200 0 0 45
123 673618.5156 3937184.484 200 0 0 45
124 673593.0597 3937209.94 200 0 0 45
125 673567.6039 3937235.396 200 0 0 45
126 673542.1481 3937260.852 200 0 0 45
127 673516.6922 3937286.308 200 0 0 45
128 673491.2364 3937311.764 200 0 0 45
200 674251.5176 3936646.518 200 0 0 225
201 674226.0617 3936671.973 200 0 0 225
202 674200.6059 3936697.429 200 0 0 225
203 674175.15 3936722.885 200 0 0 225
204 674149.6942 3936748.341 200 0 0 225
205 674124.2384 3936773.797 200 0 0 225
206 674098.7825 3936799.253 200 0 0 225
207 674073.3267 3936824.708 200 0 0 225
208 674047.8708 3936850.164 200 0 0 225
209 674022.415 3936875.62 200 0 0 225
210 673996.9591 3936901.076 200 0 0 225
211 673971.5033 3936926.532 200 0 0 225
212 673946.0474 3936951.988 200 0 0 225
213 673920.5916 3936977.444 200 0 0 225
214 673895.1358 3937002.899 200 0 0 225
215 673869.6799 3937028.355 200 0 0 225
216 673844.2241 3937053.811 200 0 0 225
217 673818.7682 3937079.267 200 0 0 225
218 673793.3124 3937104.723 200 0 0 225
219 673767.8565 3937130.179 200 0 0 225
220 673742.4007 3937155.634 200 0 0 225
221 673716.9448 3937181.09 200 0 0 225
222 673691.489 3937206.546 200 0 0 225
223 673666.0332 3937232.002 200 0 0 225
224 673640.5773 3937257.458 200 0 0 225
225 673615.1215 3937282.914 200 0 0 225
226 673589.6656 3937308.37 200 0 0 225
227 673564.2098 3937333.825 200 0 0 225
228 673538.7539 3937359.281 200 0 0 225
301 674299.0352 3936694.035 200 0 0 45
302 674273.5793 3936719.491 200 0 0 45
303 674248.1235 3936744.947 200 0 0 45
304 674222.6676 3936770.403 200 0 0 45
305 674197.2118 3936795.859 200 0 0 45
306 674171.7559 3936821.314 200 0 0 45
307 674146.3001 3936846.77 200 0 0 45
308 674120.8442 3936872.226 200 0 0 45
309 674095.3884 3936897.682 200 0 0 45
310 674069.9326 3936923.138 200 0 0 45
311 674044.4767 3936948.594 200 0 0 45
312 674019.0209 3936974.049 200 0 0 45
313 673993.565 3936999.505 200 0 0 45
314 673968.1092 3937024.961 200 0 0 45
315 673942.6533 3937050.417 200 0 0 45
316 673917.1975 3937075.873 200 0 0 45
317 673891.7416 3937101.329 200 0 0 45
318 673866.2858 3937126.785 200 0 0 45
319 673840.83 3937152.24 200 0 0 45
320 673815.3741 3937177.696 200 0 0 45
321 673789.9183 3937203.152 200 0 0 45
322 673764.4624 3937228.608 200 0 0 45
323 673739.0066 3937254.064 200 0 0 45
324 673713.5507 3937279.52 200 0 0 45
325 673688.0949 3937304.975 200 0 0 45
326 673662.639 3937330.431 200 0 0 45
327 673637.1832 3937355.887 200 0 0 45
328 673611.7274 3937381.343 200 0 0 45
329 673586.2715 3937406.799 200 0 0 45
