id x y z omega phi kappa
0 673376 3936979 210 0 0 92.5
1 673406 3936979 210 0 0 92.5
2 673436 3936979 210 0 0 92.5
3 673466 3936979 210 0 0 92.5
4 673496 3936979 210 0 0 92.5
5 673526 3936979 210 0 0 92.5
6 673556 3936979 210 0 0 92.5
7 673586 3936979 210 0 0 92.5
8 673616 3936979 210 0 0 92.5
9 673646 3936979 210 0 0 92.5
10 673676 3936979 210 0 0 92.5
11 673706 3936979 210 0 0 92.5
12 673736 3936979 210 0 0 92.5
13 673766 3936979 210 0 0 92.5
100 673376 3937029 210 0 0 -91.4
101 673406 3937029 210 0 0 -91.4
102 673436 3937029 210 0 0 -91.4
103 673466 3937029 210 0 0 -91.4
104 673496 3937029 210 0 0 -91.4
105 673526 3937029 210 0 0 -91.4
106 673556 3937029 210 0 0 -91.4
107 673586 3937029 210 0 0 -91.4
108 673616 3937029 210 0 0 -91.4
109 673646 3937029 210 0 0 -91.4
110 673676 3937029 210 0 0 -91.4
111 673706 3937029 210 0 0 -91.4
112 673736 3937029 210 0 0 -91.4
200 673376 3937079 225 0 0 84.3
201 673406 3937079 225 0 0 84.3
202 673436 3937079 225 0 0 84.3
203 673466 3937079 225 0 0 84.3
204 673496 3937079 225 0 0 84.3
205 673526 3937079 225 0 0 84.3
206 673556 3937079 225 0 0 84.3
207 673586 3937079 225 0 0 84.3





